Happy people don't watch the clock; Alexander Griboyedov; play Woe from Wit; time and happiness; happiness, time, life
The less we love a woman, the easier we please her; Alexander Pushkin; novel in verse Eugene Onegin; love and relationship psychology; love, passion, feelings
Great, mighty, truthful and free Russian language; Ivan Turgenev; prose poem Russian Language; Russian language and patriotism; language, Russia, strength, patriotism, culture
And who are the judges?; Alexander Griboyedov; play Woe from Wit; criticism and hypocrisy; criticism, judgement, authority, society
I'd be glad to serve - but fawning is nauseating; Alexander Griboyedov; play Woe from Wit; honor and dignity; honor, dignity, independence, pride
To be or not to be - that is the question; William Shakespeare (translated by Boris Pasternak); tragedy Hamlet; existential choice; choice, life, death, philosophy, existence, fate
Brevity is the soul of wit; Anton Chekhov; letter to brother Alexander, April 11, 1889; art of writing; brevity, talent, style, conciseness, writing, literature, expression
Man - that sounds proud!; Maxim Gorky; play At the Bottom; human value; man, dignity, pride, value, humanity, worth, self‑esteem, respect
Blessed is he who believes — it's warm for him in this world!; Alexander Griboyedov; play Woe from Wit; faith and optimism; faith, optimism, confidence, worldview, hope, belief, spirit
May we be spared above all sorrows both the master's wrath and the master's love; Alexander Griboyedov; play Woe from Wit; dependence on power; power, dependence, authority, control, influence, society
You can't go anywhere in the carriage of the past; Maxim Gorky; play At the Bottom; moving forward; past, future, progress, development, change, growth, time, movement
He who is born to crawl cannot fly; Maxim Gorky; The Song of the Falcon; potential and limitations; potential, limitations, fate, possibilities, destiny, dreams, aspiration
Even the smoke of the fatherland is sweet and pleasant to us; Alexander Griboyedov; play Woe from Wit; patriotism and homeland; homeland, patriotism, nostalgia, attachment, Russia, love, memory, roots
There are people necessary to society like spring; Alexander Herzen; My Past and Thoughts; social significance of the individual; society, individual, significance, influence, role, community, value, contribution
An Ordinary Story; Ivan Goncharov; novel An Ordinary Story; growing up and disillusionment; growing up, reality, illusions, experience, maturity, life, lessons, wisdom
God forbid to see a Russian riot, senseless and merciless; Alexander Pushkin; novella The Captain’s Daughter; riot and chaos; riot, chaos, history, cruelty, violence, power, society, upheaval
Moscow... how much in this sound is united for the Russian heart!; Alexander Pushkin; novel in verse Eugene Onegin; love for the city; Moscow, patriotism, city, feelings, love, Russia, heart, soul
Nature is not a temple but a workshop, and man is a worker in it; Ivan Turgenev; novel Fathers and Sons; man and nature; nature, work, man, science, progress, environment, labor, development
If you suffer long enough, something will come of it; Vladimir Vysotsky; song If a Friend Turned Out to Be Suddenly…; perseverance and labor; labor, perseverance, result, persistence, effort, struggle, time, achievement
